NAME                            TYPE
load-definition                 Opaque
sentry-kafka-kraft-cluster-id   Opaque
sentry-nginx-tls                kubernetes.io/tls
sentry-rabbitmq                 Opaque
sentry-rabbitmq-config          Opaque
sentry-secrets                  Opaque
sentry-snuba-env                Opaque
sh.helm.release.v1.sentry.v16   helm.sh/release.v1
sh.helm.release.v1.sentry.v17   helm.sh/release.v1
sh.helm.release.v1.sentry.v18   helm.sh/release.v1
sh.helm.release.v1.sentry.v19   helm.sh/release.v1
sh.helm.release.v1.sentry.v20   helm.sh/release.v1
sh.helm.release.v1.sentry.v21   helm.sh/release.v1
sh.helm.release.v1.sentry.v22   helm.sh/release.v1
sh.helm.release.v1.sentry.v23   helm.sh/release.v1
sh.helm.release.v1.sentry.v24   helm.sh/release.v1
sh.helm.release.v1.sentry.v25   helm.sh/release.v1
